Reaction	EC-Number	Object ID
L-xylopyranose + NADP+  =  L-xylono-1,4-lactone + NADPH + H+	EC-1.1.1.113	L-XYLOSE-1-DEHYDROGENASE-RXN
L-alanine + a holo-PCPII domain within [AprJ NRPS] + ATP  ->  L-alanyl-[PCPII domain within AprJ NRPS] + AMP + diphosphate	EC-6.2.1.67	RXN-23091
3'-phosphoadenylyl-sulfate + 4-methylphenol  ->  adenosine 3',5'-bisphosphate + 4-methylphenyl sulfate + H+	EC-2.8.2.1	RXN-15588
HypF carbamoyltransferase	EC-6.2.1	RXN0-6435
ATP + an [E1 SAMP-activating enzyme]-L-cysteine + a [SAMP] C-terminal glycine  ->  an S-[SAMP]-[E1 SAMP-activating enzyme]-L-cysteine + AMP + diphosphate	EC-6.2.1.55	RXN-18794
vittatine + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  11-hydroxyvittatine + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14	RXN-18140
3-dehydro-L-gulonate + NAD+  <-  2,3-didehydro-L-gulonate + NADH + H+	EC-1.1.1.130	RXN0-703
L-proline + a holo-[L-prolyl-carrier protein] + ATP  ->  an L-prolyl-[peptidyl-carrier protein] + AMP + diphosphate	EC-6.2.1.53	RXN-19068
2 S-adenosyl-L-methionine + a guanine26 in tRNA  ->  an N2dimethylguanine26 in tRNA + 2 S-adenosyl-L-homocysteine + 2 H+	EC-2.1.1.216	RXN-12377
trans-2-hexenoyl-CoA  reductase (NAD+)	EC-1.3.1.44	RXN-12559
20-hydroxy-5-O-mycaminosyltylactone + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  20-oxo-5-O-beta-mycaminosyltylactone + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	EC-1.14.15	RXN-15061
(-)-menthone + NADP+  <-  (+)-pulegone + NADPH + H+	EC-1.3.1.81	RXN-5163
3-chlorobenzyl alcohol + NAD+  ->  3-chlorobenzaldehyde + NADH + H+	EC-1.1.1.90	RXN-9909
L-tryptophan + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  N2-hydroxy-L-tryptophan + an oxidized [NADPH-hemoprotein reductase] + H2O + H+		RXN-12061
(3S)-3-hydroxyoctanoyl-CoA  <-->  (2E)-oct-2-enoyl-CoA + H2O	EC-4.2.1.74	RXN-20678
prostaglandin E2 + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  20-hydroxyprostaglandin E2 + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14	RXN-23412
salicylate + non-ribosomal peptide synthase + ATP  ->  a salicyl-[non-ribosomal peptide synthase] + AMP + diphosphate	EC-6.2.1.61	RXN-19444
L-fucopyranose + ATP  ->  beta-L-fucose 1-phosphate + ADP + H+	EC-2.7.1.52	FUCOKINASE-RXN
an S-(1-hydroxy-2-oxopropyl)-[protein]-L-cysteine + H2O  ->  a [protein]-L-cysteine + (R)-lactate + H+	EC-3.5.1.124	RXN-17634
hydroxylamine + dioxygen  ->  nitrite + H2O + H+	EC-1.7.3.6	RXN-13595
2-butyloctyl sulfate + H2O  ->  2-butyl-1-octanol + sulfate + H+	EC-3.1.6.22	RXN-20156
D-cellobiose + phosphate  =  alpha-D-glucopyranose 1-phosphate + D-glucopyranose	EC-2.4.1.20	CELLOBIOSE-PHOSPHORYLASE-RXN
a long-chain fatty acyl-[acyl-carrier protein] + 2 a reduced flavodoxin + 3 dioxygen  ->  a pimeloyl-[acp] + a 1-alkanal + 2 an oxidized flavodoxin + 3 H2O + H+	EC-1.14.14.46	RXN-13834
a dolichyl beta-D-glucosyl phosphate + H2O  ->  a dolichyl phosphate + D-glucopyranose + H+	EC-3.1.4.48	3.1.4.48-RXN
ginsenoside Re + H2O  =  ginsenoside Rg1 + L-rhamnopyranose		RXN-14583
3,4-dihydroquinoxaline-2-carboxylate + an oxidized electron carrier  ->  quinoxaline-2-carboxylate + a reduced two electron carrier		RXN-17154
a holo-[valyl-carrier protein] + L-valine + ATP  ->  a D-valyl-[valyl-carrier protein] + AMP + diphosphate	EC-6.2.1	RXN-22846
(6E)-8-oxogeraniol + NADP+  ->  (6E)-8-oxogeranial + NADPH + H+		RXN-9370
S-adenosyl-L-methionine + a guanine2445 in 23S rRNA  ->  an N2-methylguanine2445 in 23S rRNA + S-adenosyl-L-homocysteine + H+	EC-2.1.1.173	RXN-11574
arsenate + glutathione + a reduced glutaredoxin + 2 H+  ->  arsenous acid + a [glutaredoxin]-glutathione disulfide + H2O	EC-1.20.4.1	RXN-982
octanoyl-CoA + (2-aminobenzoyl)acetate + H+  ->  2-heptyl-4-quinolone + CO2 + coenzyme A + H2O	EC-2.3.1.230	RXN-17711
2'-deoxyadenosine + UTP  =  dAMP + UDP + H+	EC-2.7.1.74	RXN-14099
cholestanol + NADP+  <-  cholesterol + NADPH + H+	EC-1.3.1.22	RXN-22833
N6-[(2Z)-unsaturated long-chain fatty acyl]-N6-hydroxy-L-lysine + a holo-[MbtE peptidyl-carrier protein] + ATP  ->  N6-[(2Z)-unsaturated long-chain fatty acyl]-N6-hydroxy-L-lysyl-[MbtE peptidyl-carrier protein] + AMP + diphosphate	EC-6.2.1	RXN185E-12
(2Z,4E)-2-aminomuconate + H2O  ->  (2Z,4E)-2-hydroxyhexa-2,4-dienedioate + ammonium	EC-3.5.99.11	RXN-8845
(22S)-22-hydroxy-5alpha-campestan-3-one + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3-dehydro-6-deoxoteasterone + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.147	RXN-11101
coprogen + Fe3+  ->  iron(III)-coprogen + 3 H+		RXN-19632
dTDP-3-acetamido-3-deoxy-alpha-D-fucose + alpha-L-Rha-(1->2)-alpha-L-Rha-(1->3)-beta-L-Rha-(1->4)-alpha-D-GlcNAc-PP-Und  ->  dTDP + alpha-D-Fuc3NAc-(1->2)-alpha-L-Rha-(1->2)-alpha-L-Rha-(1->3)-beta-L-Rha-(1->4)-alpha-D-GlcNAc-PP-Und + H+	EC-2.4.1	RXN-22290
UDP-N-acetyl-alpha-D-glucosamine + a [protein]-trans-4-hydroxy-L-proline  ->  a protein-O-(N-acetyl-D-glucosaminyl)-trans-4-hydroxy-L-proline + UDP + H+	EC-2.4.1.229	2.4.1.229-RXN
3-amino-5-hydroxybenzoate + ATP + acyl-carrier protein  ->  3-amino-5-hydroxybenzoyl-[acyl-carrier protein] + AMP + diphosphate	EC-6.2.1.74	RXN-20315
aureobasidin A synthetase	EC-6.3.2	RXN-16643
(3R)-3-isocyanylbutanoate + acyl-carrier protein + ATP  ->  a (3R)-3-isocyanobutanoyl-[acp] + AMP + diphosphate	EC-6.2.1.2	RXN-22664
2,4-dibromophenol + bromide + NADPH + dioxygen + H+  ->  2,4,6-tribromophenol + NADP+ + 2 H2O	EC-1.14.19.55	RXN-19104
ATP + S-adenosyl-L-methionine + a holo-[S-adenosyl-L-methionyl-carrier protein]  ->  AMP + an S-adenosyl-L-methionine-[ S-adenosyl-L-methionyl-carrier protein] + diphosphate	EC-6.2.1.M38	RXN-22923
digallate + H2O  ->  2 gallate + H+	EC-3.1.1.20	TANNASE-RXN
(L-lysyl)adenylate + a holo-[MxcG non-ribosomal peptide synthase]  ->  L-lysyl-[MxcG non-ribosomal peptide synthase] + AMP + H+		RXN-23308
phosphoenolpyruvate + an [HPr]-L-histidine  ->  pyruvate + an [HPr protein]-Npi-phospho-L-histidine	EC-2.7.3.9	2.7.3.9-RXN
spinosyn tricyclic macrolactone + dTDP-beta-L-rhamnose  ->  rhamnosyl tricyclic spinosyn pseudoaglycone + dTDP + H+		RXN-13629
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + 2 a ferricytochrome b5 + 2 H2O	EC-1.14.19.3	RXN-16132
dichlorocarbene + H2O  ->  carbon monoxide + 2 chloride + 2 H+		RXN-8407
L-threonine + a holo-[L-threonyl-carrier protein] + ATP  ->  an L-threonyl-[L-threonyl-carrier protein] + AMP + diphosphate	EC-6.2.1.70	RXN-19453
a [lipoyl-carrier protein]-L-lysine + ATP + (R)-lipoate  ->  a [lipoyl-carrier protein]-N6-[(R)-lipoyl]-L-lysine + AMP + diphosphate + H+	EC-6.3.1.20	RXN-17127
10-hydroxy-alpha-humulene + NAD+  ->  zerumbone + NADH + H+	EC-1.1.1.326	RXN-10629
5-hydroxymethylfurfural + dioxygen  ->  furan-2,5-dicarbaldehyde + hydrogen peroxide		RXN-13090
L-cysteine + a holo PCP2 domain within [HctE NRPS] + ATP  ->  an L-cysteinyl-[PCP2 domain within HctE NRPS] + AMP + diphosphate	EC-6.2.1.69	RXN-23061
UDP-alpha-D-galactofuranose + alpha-D-Gal-(1->3)-beta-D-ManNAc-(1->6)-beta-D-Galf-(1->3)-alpha-D-GlcNAc-PP-Und  ->  UDP + alpha-D-Galf-(1->4)-alpha-D-Gal-(1->3)-beta-D-ManNAc-(1->6)-beta-D-Galf-(1->3)-alpha-D-GlcNAc-PP-Und + H+	EC-2.4.1	RXN-21878
a dihydroceramide + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  a (2'R)-2'-hydroxydihydroceramide + 2 a ferricytochrome b5 + H2O	EC-1.14.18.7	RXN-7796
ATP + D-alanine + a holo [D-alanyl carrier protein]  ->  a D-alanyl-[D-alanyl carrier protein] + AMP + diphosphate	EC-6.2.1.54	RXN-18014
ethyl (R)-3-hydroxyhexanoate + NADP+  =  ethyl-3-oxohexanoate + NADPH + H+	EC-1.1.1.279	1.2.1.55-RXN
2 L-glutamate + 2 an oxidized ferredoxin [iron-sulfur] cluster  <-  2-oxoglutarate + L-glutamine + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H+	EC-1.4.7.1	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
acetylene + H2O  ->  acetaldehyde	EC-4.2.1.112	R141-RXN
(2E,5S,6E,8E,10E)-1-aminododeca-2,6,8,10-tetraen-5-ol + pyruvate  <-->  (2E,5S,6E,8E,10E)-5-hydroxydodeca-2,6,8,10-tetraenal + L-alanine	EC-2.6.1.115	RXN-18638
L-cysteine + a holo-[L-cysteinyl-carrier protein] + ATP  ->  an L-cysteinyl-[L-cysteinyl-carrier protein] + AMP + diphosphate	EC-6.2.1.69	RXN-19464
UDP-alpha-D-glucose + MMFT-8  ->  UDP + MMFT-9 + H+	EC-2.4.1.M64	RXN-21260
laminaribiose + phosphate  <-->  D-glucopyranose + alpha-D-glucopyranose 1-phosphate	EC-2.4.1.31	LAMINARIBIOSE-PHOSPHORYLASE-RXN
UDP-N-acetyl-alpha-D-glucosamine + NAD+  ->  UDP-N-acetyl-3-dehydro-alpha-D-glucosamine + NADH + H+	EC-1.1.1.374	RXN-15615
a 1-(methylsulfanyl)-n-aci-nitroalkane + glutathione  ->  a (Z)-1-(glutathion-S-yl)-N-hydroxy-omega-(methylsulfanyl)alkan-1-imine + H2O		RXN-18170
D-gluconate + NAD+  <-->  5-dehydro-D-gluconate + NADH + H+		RXN0-7101
2 S-adenosyl-L-methionine + a guanine10 in tRNA  ->  an N2-dimethylguanine10 in tRNA + 2 S-adenosyl-L-homocysteine + 2 H+	EC-2.1.1.213	RXN-12373
choline monooxygenase (NADP)	EC-1.1.1	RXN-12582
2-amino-4-phosphonobutanoate + CTP + H+  ->  CMP-5'-3-(aminopropyl)phosphonate + CO2 + diphosphate	EC-2.7.7	RXN-15078
chlorophyllide a + NADP+  <-  chlorophyllide a2 + NADPH + H+	EC-1.3.1.75	RXN-5286
L-proline + a holo-PCP domain within [AprL NRPS] + ATP  ->  L-prolyl-[PCP domain within AprLK NRPS] + AMP + diphosphate	EC-6.2.1.53	RXN-23095
UDP-alpha-D-galactose + sucrose  =  UDP + loliose + H+	EC-2.4.1	RXN-9934
methylguanidinium + H2O  ->  urea + methylamine	EC-3.5.3.16	METHYLGUANIDINASE-RXN
cortisol + NADP+  <-->  cortisone + NADPH + H+	EC-1.1.1.146	RXN-12085
5(S)-HETE + a reduced two electron carrier + dioxygen  ->  5(S),15(S)-diHETE + an oxidized electron carrier + H2O		RXN-23434
2 a 1,2-diacyl-3-O-(beta-D-galactopyranosyl)-sn-glycerol  =  a mono-beta-D-galactosylacylglycerol + an acylmono-beta-D-galactosyldiacylglycerol	EC-2.3.1.134	GALACTOLIPID-O-ACYLTRANSFERASE-RXN
S-adenosyl-L-methionine + a [sulfatase] L-serine  ->  a [sulfatase]-3-oxo-L-alanine + 5'-deoxyadenosine + L-methionine + H+	EC-1.1.98.7	RXN-20179
chitin + H2O  ->  chitosan + acetate	EC-3.5.1.41	CHITIN-DEACETYLASE-RXN
an unbranched alpha-(1,6)-D-mannan + H2O  ->  2 a 1,6-alpha-D-mannosyloligosaccharide	EC-3.2.1.101	3.2.1.101-RXN
ginsenoside Rb3 + H2O  ->  ginsenoside C-Mx1 + D-glucopyranose		RXN-14613
S-adenosyl-L-methionine + 3,5-dihydroxybiphenyl  ->  3-hydroxy-5-methoxybiphenyl + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-17181
(+)-neodihydrocarveol + NAD+  ->  (+)-dihydrocarvone + NADH + H+	EC-1.1.1.296	RXN-9392
S-adenosyl-L-methionine + a cytosine1407 in 16S rRNA  ->  S-adenosyl-L-homocysteine + a 5-methylcytosine1407 in 16S rRNA + H+	EC-2.1.1.178	RXN-11593
L-glutamate-5-semialdehyde + NAD+ + H2O  ->  L-glutamate + NADH + 2 H+	EC-1.2.1.88	RXN-14116
4-hydroxybenzaldehyde + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  3,4-dihydroxybenzaldehyde + an oxidized [NADPH-hemoprotein reductase] + H2O	EC-1.14.14.1	RXN-8872
L-glutamate + L-tyrosine + L-2,4-diaminobutanoate + 2 L-serine + L-arginine + 2 N5-formyl-N5-hydroxy-L-ornithine + L-lysine + 2 L-threonine + myristoyl-CoA + 11 ATP  ->  myristoylated ferribactin + 11 AMP + coenzyme A + 11 diphosphate + H2O + 13 H+	EC-6.3.2	RXN-11126
S-adenosyl-L-methionine + (+)-taxifolin  ->  S-adenosyl-L-homocysteine + (+)-3'-methyltaxifolin + H+	EC-2.1.1.42	RXN-19657
oxoarsinite + H2O  ->  arsenite		RXN-22312
an 11-cis-retinal-[retinal-binding protein] + a metarhodopsin II  ->  a rhodopsin + an all-trans-retinal-[retinal-binding protein]		RXN-13352
GDP-alpha-D-glucose + alpha-D-glucose 6-phosphate  ->  alpha,alpha-trehalose 6-phosphate + GDP + H+	EC-2.4.1.36	2.4.1.36-RXN
cis,cis-delta15,27-3-oxo-C46:2-[acyl-carrier protein] synthase	EC-2.3.1.294	RXN1G-424
L-N2-(2-carboxyethyl)arginine + ATP  ->  deoxyamidinoproclavaminate + AMP + diphosphate	EC-6.3.3.4	6.3.3.4-RXN
benzoyl-CoA + holothin  ->  benzoyl-holothin + coenzyme A	EC-2.3.1	RXN-16661
4-hydroxy-L-tryptophan + H+  ->  4-hydroxytryptamine + CO2	EC-4.1.1.105	RXN-19124
malonamoyl-[OxyC acyl-carrier protein] + 8 malonyl-CoA + 8 H+  ->  nonaketamide-[OxyC acyl-carrier protein] + 8 CO2 + 8 coenzyme A	EC-2.3.1.260	RXN-17985
a polyisoprenyl-major wall teichoic acid (B. subtilis 168) + Und-PP-[beta-D-GlcNAc-(1->4)]-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala-D-Ala + H2O  ->  a peptidoglycan-major wall teichoic acid complex (B. subtilis 168) + di-trans,octa-cis-undecaprenyl phosphate + di-trans,octa-cis-undecaprenyl diphosphate + 2 H+	EC-2.7.8.M1	TEICHOICSYN8-RXN
carlactone carboxylate + an oxidized electron carrier + H+  ->  (+)-5-deoxystrigol + a reduced two electron carrier		RXN-13645
trans-delta2-cis-delta21-C40:2-[acyl-carrier protein] isomerase	EC-5.3.3.14	RXN1G-53
a [protein]-L-glutamine + a [protein]-L-lysine  ->  a protein with an N6-(gamma-glutamyl)-L-lysine crosslink + ammonium	EC-2.3.2.13	2.3.2.13-RXN
a [glycerolipid]-ricinoleate + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  a [glycerolipid]-densipolate + 2 a ferricytochrome b5 + 2 H2O	EC-1.14.19.25	RXN-16149
(2E,6E)-farnesyl diphosphate  ->  (+)-beta-chamigrene + diphosphate	EC-4.2.3.78	RXN-8424
(5S)-3-acetyl-6,6-dimethyl-5-hydroxy-hept-2-enoyl-[AprC acyl-carrier protein] + H+  ->  (5S)-5-hydroxy-3,6,6-trimethylhept-2-enoyl-[AprC acyl-carrier protein] + CO2		RXN-23080
4-oxo-4-(3-pyridyl)-N-methylbutanamide  ->  4-oxo-4-(3-pyridyl)-butanoate		RXN66-165
a CcmG protein with reduced cysteine residues + a CcmE-[c-type cytochrome--CcmH disulfide] complex + an electron-transfer quinol  ->  a CcmH-CcmG disulfide + a c-type cytochrome + a c-type cytochrome biogenesis protein CcmE + an electron-transfer semiquinone + H+		RXN-21424
GDP-beta-L-fucose + myxol  ->  myxol-2' fucoside + GDP + H+	EC-2.4.1	RXN-10647
ATP + a thiocarboxylated [TtuB sulfur-carrier protein] + a 5-methyluracil54 in tRNA + H2O  ->  AMP + a TtuB sulfur-carrier protein + a 5-methyl-2-thiouracil54 in tRNA + diphosphate + 2 H+	EC-2.8.1.15	RXN-18457
theophylline <i>N</i>3-demethylase	EC-1.14.13.178	RXN-13108
GDP-beta-L-fucose + beta-D-Gal-(1->3)-alpha-D-GlcNAc-PP-Und  ->  GDP + alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-alpha-D-GlcNAc-PP-undecaprenol + H+	EC-2.4.1	RXN-21893
trans-delta2-cis,cis-delta9,27-C46:3-[acyl-carrier protein] reductase	EC-1.3.1.118	RXN1G-686
progesterone + NADPH + H+ + dioxygen  ->  testosterone acetate + NADP+ + H2O	EC-1.14.13.54	RXN-7817
N-[(5S)-5-amino-5-carboxypentanoyl]-L-cysteinyl-D-valine + dioxygen  ->  isopenicillin N + 2 H2O	EC-1.21.3.1	1.21.3.1-RXN
apratoxin intermediate-[PCP domain within AprL NRPS]  ->  apratoxin A + a holo-PCP domain within [AprL NRPS]		RXN-23097
nitroglycerin + NAD(P)H  ->  nitrite + 1,2-dinitroglycerol + NAD(P)+	EC-1.7.1	R203-RXN
N-acetyl-D-muramate 6-phosphate + H2O  ->  N-acetyl-D-muramate + phosphate	EC-3.1.3.105	RXN-18659
71-hydroxychlorophyllide a2 + NADPH + dioxygen + H+  ->  71-dihydroxychlorophyllide a2 + NADP+ + H2O		RXN-21289
a [CysO sulfur-carrier protein]-Gly-Gly-adenylate + a sulfurated [sulfur carrier] + a reduced two electron carrier  ->  a [CysO sulfur-carrier protein]-thiocarboxylate + an unsulfurated [sulfur carrier] + AMP + an oxidized electron carrier + H+		RXN-14565
gamma-hexachlorocyclohexane  ->  gamma-pentachlorocyclohexene + chloride + H+	EC-4.5.1	LINA1-RXN
cis,cis-delta19,31-3-oxo-C50:2-[acyl-carrier protein] reductase	EC-1.1.1.M9	RXN1G-951
ATP + a [protein]-L-histidine  ->  a [protein]-Npi-phospho-L-histidine + ADP + H+	EC-2.7.13.1	2.7.13.1-RXN
3-methyl-2-oxobutanoate + 5,10-methylene-tetrahydromethanopterin + H2O  ->  2-dehydropantoate + tetrahydromethanopterin	EC-2.1.2.11	RXN-15635
2-[(5'-methylsulfanyl)pentyl]malate  <-->  2-[(2'-methylsulfanyl)pentyl]maleate + H2O		RXN-18188
(L-prolyl)adenylate + a holo-[CloN5 prolyl-carrier protein]  ->  L-prolyl-[CloN5 prolyl-carrier protein] + AMP + H+		RXN-23157
L-methionine + hydrogen peroxide  ->  L-methionine-(S)-S-oxide + H2O		RXN0-7187
an (8S)-8-methyldecanoyl-[acyl-carrier protein] + NAD+  <-  a (2E,8S)-8-methyldec-2-enoyl-[acp] + NADH + H+	EC-1.3.1.9	RXN-21624
a carboxy-adenylated-[ubiquitin-related modifier 1] + a [MOCS3]-S-sulfanylcysteine + a reduced two electron carrier  ->  a thiocarboxylated-[ubiquitin-related modifier 1] + a [MOCS3 protein]-L-cysteine + AMP + an oxidized electron carrier + H+	EC-2.8.1	RXN-18701
zealexin A1  ->  zealexin A2		RXN-12606
5-O-beta-mycaminosyltylactone + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  20-hydroxy-5-O-mycaminosyltylactone + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O	EC-1.14.15	RXN-15062
narbomycin + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  neopikromycin + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O	EC-1.14.15.33	RXN-15107
a palmitoyl-[acp] + alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-(palmitoyl)-lipid IVA (Brucella)  ->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-(palmitoyl)2-lipid IVA (Brucella) + acyl-carrier protein	EC-2.3.1.243	RXN2B4Q-57
a dolichyl beta-D-mannosyl phosphate[rough endoplasmic reticulum lumen] + alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol[rough endoplasmic reticulum lumen]  ->  alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol[rough endoplasmic reticulum lumen] + a dolichyl phosphate[rough endoplasmic reticulum lumen] + H+[rough endoplasmic reticulum lumen]	EC-2.4.1.259	RXN-5467
a holo acyl-carrier protein + H2O  ->  4'-phosphopantetheine + an apo acyl-carrier protein + H+	EC-3.1.4.14	3.1.4.14-RXN
(2E,6E)-farnesyl diphosphate + 13 3-methylbut-3-en-1-yl diphosphate  ->  di-trans, poly-cis-polyprenyl diphosphate (C80) + 13 diphosphate	EC-2.5.1.87	RXN-9969
UDP-N-acetyl-alpha-D-glucosamine + a (3R)-3-hydroxydodecanoyl-[acp]  ->  UDP-3-O-[(3R)-3-hydroxydodecanoyl]-N-acetyl-alpha-D-glucosamine + acyl-carrier protein	EC-2.3.1.129	RXN-23223
monomethyl sulfate + H2O  ->  sulfate + methanol + H+	EC-3.1.6.16	MONOMETHYL-SULFATASE-RXN
an (8S)-8-methyldecanoyl-[acyl-carrier protein] + NADP+  <-  a (2E,8S)-8-methyldec-2-enoyl-[acp] + NADPH + H+	EC-1.3.1.104 // EC-1.3.1.10	RXN-21641
(3S)-2,3-epoxy-2,3-dihydrosqualene  ->  isomultiflorenol	EC-5.4.99.36	RXN-12103
a coelenterazine-[coelenterazine-binding protein] + 3 Ca2+  ->  a coelenterazine + a Ca2+-loaded apo-[coelenterazine-binding protein]		RXN-18859
a [protein]-L-histidine + 2,3-diphospho-D-glycerate  <-->  a [protein]-Npi-phospho-L-histidine + 2-or-3 phospho-D-glycerate		RXN-15509
beta-citryl-L-glutamate + H2O  ->  L-glutamate + citrate	EC-3.5.1.68	RXN-20717
prostaglandin H1  ->  prostaglandin E1	EC-5.3.99.3	RXN-23454
UDP-alpha-D-galactose  <-->  UDP-alpha-D-galactofuranose	EC-5.4.99.9	GALPMUT-RXN
a flavan-4-ol + NADP+  <-  a flavanone + NADPH + H+	EC-1.1.1.234	RXN-17676
a D-glutamyl-gamma-D-alanyl-[SulM alanyl-carrier protein domain] + a L-2,3-diaminopropanoyl-[SulM L-2,3-diaminopropanoate-carrier protein domain]  ->  a D-glutamyl-gamma-D-alanyl-L-2,3-diaminopropanoyl-[SulM L-2,3-diaminopropanoate-carrier protein domain] + a [SulM alanyl-carrier protein domain] + H+		RXN-23287
S-adenosyl-L-methionine + demethylluteothin  ->  S-adenosyl-L-homocysteine + luteothin + H+	EC-2.1.1.353	RXN-20209
a 9-methyldecanoyl-[acyl-carrier protein] + NAD+  <-  a (2E)-9-methyldec-2-enoyl-[acp] + NADH + H+	EC-1.3.1.9	RXN-21657
5beta-cholestan-3-one + NADP+  =  cholest-4-en-3-one + NADPH + H+	EC-1.3.1.3	CHOLESTENONE-5-BETA-REDUCTASE-RXN
S-adenosyl-L-methionine + N-desmethyl-gliotoxin  ->  gliotoxin + S-adenosyl-L-homocysteine + H+	EC-2.1.1	RXN-15686
GlcMan9(GlcNAc)2-[protein] + H2O  ->  Man8(GlcNAc)2-[protein] (isomer 8A1,2,3B1,2) + D-glucosyl-alpha(1->3)- alpha-D-mannose	EC-3.2.1.130	3.2.1.130-RXN
S-adenosyl-L-methionine + 8-hydroxy-salvigenin  ->  S-adenosyl-L-homocysteine + gardenin B + H+	EC-2.1.1	RXN-14639
a hexanoyl-[acp domain within a fatty acid synthase] + NADP+  <-  a (2E)-hex-2-enoyl-[acp domain within a fatty acid synthase] + NADPH + H+	EC-2.3.1.86 // EC-2.3.1.85	RXN66-621
C32-phosphomycoketide + GDP-alpha-D-mannose  =  beta-D-mannosyl C32-phosphomycoketide + GDP	EC-2.4.1.M6	RXN-17204
(1R,2R,4S)-limonene-1,2-diol + a mycofactocinone  ->  (1R,4S)-1-hydroxymenth-8-en-2-one + a mycofactocinol	EC-1.1.98	RXN-9411
alpha-ketoglutaryl-diaminobutyryl-citryl-ethanolamine + ATP + 2-oxoglutarate  ->  achromobactin + AMP + diphosphate + H+	EC-6.3.2	RXN-11613
a 15-methylhexadecanoyl-[acp] + NADP+  <-  a (2E)-15-methylhexadec-2-enoyl-[acp] + NADPH + H+	EC-1.3.1.104 // EC-1.3.1.10	RXN-21673
UTP + H2O  ->  UMP + diphosphate + H+	EC-3.6.1.9	RXN-14139
a salicyl-[PmsE non-ribosomal peptide synthase] + an L-threonyl-[PmsG non-ribosomal peptide synthase]  ->  a salicyl-N-threonyl-[PmsG non-ribosomal peptide synthase protein] + a [PmsE non-ribosomal peptide synthase] + H+	EC-2.3.1	RXN-19436
betainyl-CoA + H2O  ->  glycine betaine + coenzyme A + H+	EC-3.1.2.M6	RXN-22883
[EntF L-seryl-carrier protein] + coenzyme A  ->  a holo-[EntF L-seryl-carrier protein] + adenosine 3',5'-bisphosphate + H+	EC-2.7.8.7	RXN-15889
allicin  ->  thioacrolein + allylsulfenate		RXN-8901
a (3R)-3-hydroxytetradecanoyl-[acp domain within a fatty acid synthase]  ->  a (2E)-tetradec-2-enoyl-[acp domain within a fatty acid synthase] + H2O	EC-2.3.1.85 // EC-2.3.1.86	RXN66-637
a long-chain fatty acid + acyl-carrier protein + ATP  ->  a long-chain fatty acyl-[acyl-carrier protein] + AMP + diphosphate	EC-6.2.1.20	ACYLACPSYNTH-RXN
a [2-oxoglutarate dehydrogenase E2 protein] N6-dihydrolipoyl-L-lysine + NAD+  ->  a [2-oxoglutarate dehydrogenase E2 protein] N6-lipoyl-L-lysine + NADH + H+	EC-1.8.1.4	RXN-7716
a reduced [NADPH-hemoprotein reductase] + omega-hydroxymenaquinone-4 + dioxygen  ->  an oxidized [NADPH-hemoprotein reductase] + omega-oxomenaquinone-4 + 2 H2O		RXN-19674
tyrindoxyl sulfate + H2O  ->  tyrindoxyl + sulfate + H+		RXN-22343
an 8-methylnonanoyl-[acyl-carrier protein] + a malonyl-[acp] + H+  ->  a 1o-methyl-3-oxoundecanoyl-[acp] + CO2 + acyl-carrier protein	EC-2.3.1.179	RXN-21690
