"EC","EC2","ec"
"DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN","DEOXYNUCLEOTIDE-3-PHOSPHATASE","3.1.3.34"
"RXN-11371","RXN-11371","2.5.1.108"
"AMP-NUCLEOSID-RXN","AMP-NUCLEOSID","3.2.2.4"
"2.7.8.9-RXN","2.7.8.9","2.7.8.9"
"RXN-16928","RXN-16928","1.14.13"
"RXN-9140","RXN-9140","4.2.3.152"
"RXN-13896","RXN-13896","2.1.1"
"RXN-16406","RXN-16406","1.1.1"
"RXN-22599","RXN-22599","2.5.1.M27"
"RXN-8630","RXN-8630","1.14.14.1"
"RXN-13385","RXN-13385","1.1.1"
"RXN-19346","RXN-19346","2.1.1.348"
"RXN-22082","RXN-22082","2.3.1"
"2.1.1.71-RXN","2.1.1.71","2.1.1.71"
"3SC23OALCAL-RXN","3SC23OALCAL","1.13.11"
"RXN-10048","RXN-10048","3.1.1.81"
"RXNQT-4169","RXNQT-4169","2.3.3.17"
"RXN-15924","RXN-15924","1.1.1"
"RXN-18404","RXN-18404","1.1.1.404"
"RXN1G-1435","RXN1G-1435","3.1.3.12"
"RXN-12845","RXN-12845","5.4.99.52"
"RXN-15376","RXN-15376","2.6.1.92"
"RXN-7302","RXN-7302","3.1.3.62"
"1.1.1.232-RXN","1.1.1.232","1.1.1.232"
"PHENYLPCARB-RXN","PHENYLPCARB","4.1.1.123"
"RXN-12349","RXN-12349","1.14.11.61"
"RXN-21017","RXN-21017","1.20.1.M1"
"RXN0-5209","RXN0-5209","2.7.7"
"RXN-14858","RXN-14858","3.5.99"
"RXN-17450","RXN-17450","4.2.1.169"
"RXN-4161","RXN-4161","5.3.3.5"
"RXN-9705","RXN-9705","2.4.1"
"RXN-11841","RXN-11841","5.4.99.27"
"RXN-14399","RXN-14399","1.3.7.11"
"RXN-23181","RXN-23181","2.4.1"
"DIACYLGLYKIN-RXN","DIACYLGLYKIN","2.7.1.107"
"RXN-11390","RXN-11390","1.5.1.46"
"ARACHIDONATE--COA-LIGASE-RXN","ARACHIDONATE--COA-LIGASE","6.2.1.15"
"2.8.3.10-RXN","2.8.3.10","2.8.3.10"
"RXN-16951","RXN-16951","1.14.13.M67"
"RXN-9158","RXN-9158","1.1.1.341"
"RXN-13913","RXN-13913","2.1.1"
"RXN-10917","RXN-10917","1.2.1.3"
"RXN-13419","RXN-13419","1.13.11"
"RXN-19376","RXN-19376","2.3.1.271"
"RXN-22103","RXN-22103","2.4.1"
"RXN-13916","RXN-13916","2.1.1"
"RXN-16429","RXN-16429","2.1.1.318"
"RXN-22622","RXN-22622","1.7.1.M4"
"RXN-8665","RXN-8665","1.13.11.11 // EC-1.13.11.52"
"RXN-19380","RXN-19380","2.8.1.16"
"RXN-22106","RXN-22106","2.2.1.14"
"2.1.3.9-RXN","2.1.3.9","2.1.3.9"
"4-METHYLOXALOACETATE-ESTERASE-RXN","4-METHYLOXALOACETATE-ESTERASE","3.1.1.44"
"RXN-10078","RXN-10078","1.14.13.1"
"RXN-18923","RXN-18923","3.2.1.113"
"RXNQT-4324","RXNQT-4324","2.4.1.195"
"RXN-15945","RXN-15945","2.5.1.131"
"RXN-12867","RXN-12867","1.8.1"
"RXN-15402","RXN-15402","2.1.1"
"1.1.1.272-RXN","1.1.1.272","1.1.1.272"
"PHOSPHATIDYLINOSITOL-BISPHOSPHATASE-RXN","PHOSPHATIDYLINOSITOL-BISPHOSPHATASE","3.1.3.36"
"RXN-12376","RXN-12376","2.1.1.216"
"RXN-21043","RXN-21043","5.2.1.M1"
"HOMOSERINE-O-ACETYLTRANSFERASE-RXN","HOMOSERINE-O-ACETYLTRANSFERASE","2.3.1.31"
"RXN-17964","RXN-17964","1.1.1.M32"
"RXN0-5291","RXN0-5291","2.7.7"
"RXN-14880","RXN-14880","1.5.1"
"RXN-4261","RXN-4261","1.1.1"
"RXN-9738","RXN-9738","2.1.1"
"RXN-11868","RXN-11868","2.1.1.205"
"RXN-14420","RXN-14420","2.5.1.110"
"RXN-20520","RXN-20520","3.1.1.118"
"RXN-23210","RXN-23210","1.3.1"
"DIHYDROCOUMARIN-LIPASE-RXN","DIHYDROCOUMARIN-LIPASE","3.1.1.35"
"AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN","AROMATIC-L-AMINO-ACID-DECARBOXYLASE","4.1.1.28 // EC-4.1.1.105"
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN","3-CH3-2-OXOBUTANOATE-OH-CH3-XFER","2.1.2.11"
"RXN-16974","RXN-16974","1.14.13"
"RXN-13933","RXN-13933","2.1.1"
"RXN-22639","RXN-22639","3.1.1.am"
"RXN-10943","RXN-10943","3.1.3.62"
"RXN-13448","RXN-13448","2.1.1"
"RXN-19397","RXN-19397","2.7.1.183"
"RXN-22126","RXN-22126","2.4.1"
"2.3.1.132-RXN","2.3.1.132","2.3.1.132"
"4.1.1.81-RXN","4.1.1.81","4.1.1.81"
"RXN-10095","RXN-10095","1.3.1.119"
"RXNQT-4341","RXNQT-4341","1.14.11.M8"
"RXN-15962","RXN-15962","2.5.1"
"RXN-8214","RXN-8214","1.14.15.24"
"RXN1R65-48","RXN1R65-48","3.1.1.M25"
"RXN-12891","RXN-12891","2.1.1"
"RXN-15421","RXN-15421","2.5.1.123"
"RXN-21589","RXN-21589","1.13.12"
"RXN-7572","RXN-7572","1.1.1.27"
"1.1.1.64-RXN","1.1.1.64","1.1.1.64"
"PHOSPHORIBOKINASE-RXN","PHOSPHORIBOKINASE","2.7.1.18"
"RXN-12397","RXN-12397","3.2.1.155"
"RXN-18447","RXN-18447","6.2.1.1"
"RXN-21065","RXN-21065","1.17.99.M4"
"HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN","HYDROXYHEPTA-DIENEDIOATE-HYDROXY","4.2.1.163"
"RXN-17982","RXN-17982","2.1.1.M31"
"RXN0-5390","RXN0-5390","3.1.2"
"RXN-9753","RXN-9753","1.1.1.M69"
"RXN-14438","RXN-14438","2.1.1.44"
"RXN-20538","RXN-20538","3.1.4.11"
"DIMETHUROPORDEHYDROG-RXN","DIMETHUROPORDEHYDROG","1.3.1.76"
"RXN-17490","RXN-17490","3.1.3.62"
"RXN-19994","RXN-19994","1.5.1"
"ARYLSULFATE-SULFOTRANSFERASE-RXN","ARYLSULFATE-SULFOTRANSFERASE","2.8.2.22"
"3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN","3-HYDROXYISOBUTYRATE-DEHYDROGENASE","1.1.1.31"
"RXN-9194","RXN-9194","3.1.1"
"RXN-13949","RXN-13949","2.3.1"
"RXN-8703","RXN-8703","1.13.12"
"RXN-10961","RXN-10961","3.1.3"
"RXN-19416","RXN-19416","3.1.1.6"
"RXN-22148","RXN-22148","2.4.99"
"2.3.1.159-RXN","2.3.1.159","2.3.1.159"
"4.1.3.35-RXN","4.1.3.35","4.1.3.35"
"RXN-10112","RXN-10112","1.21.99.M3"
"RXNQT-4359","RXNQT-4359","3.2.1.147"
"RXN-8236","RXN-8236","1.13.12"
"RXN2B4Q-51","RXN2B4Q-51","3.6.1.54"
"RXN-15442","RXN-15442","2.4.1"
"RXN-21732","RXN-21732","1.14.13.249"
"RXN-7598","RXN-7598","2.1.1.159"
"1.1.4.2-RXN","1.1.4.2","1.17.4.5"
"POLYPHOSPHATE-KINASE-RXN","POLYPHOSPHATE-KINASE","2.7.4.1"
"RXN-18473","RXN-18473","6.3.2.52"
"RXN-21085","RXN-21085","3.5.1.137"
"HYGROMYCIN-B-KINASE-RXN","HYGROMYCIN-B-KINASE","2.7.1.119"
"RXN-18015","RXN-18015","2.7.8.46"
"RXN0-5461","RXN0-5461","2.7.1.189"
"RXN-14927","RXN-14927","2.1.1.293"
"RXN-4501","RXN-4501","1.14.14.90"
"RXN-9778","RXN-9778","2.1.3.11"
"RXN-11914","RXN-11914","6.2.1"
"RXN-14457","RXN-14457","3.5.3.25"
"RXN-20555","RXN-20555","3.1.1.4"
"RXN-23259","RXN-23259","5.1.1.10"
"DLACTDEHYDROGNAD-RXN","DLACTDEHYDROGNAD","1.1.1.28"
"RXN-17513","RXN-17513","1.14.13.225"
"RXN-20012","RXN-20012","3.1.1.109"
"ASPARTATEKIN-RXN","ASPARTATEKIN","2.7.2.4"
"3-OXOSTEROID-1-DEHYDROGENASE-RXN","3-OXOSTEROID-1-DEHYDROGENASE","1.3.99.4"
"RXN-9210","RXN-9210","2.3.1"
"RXN-13966","RXN-13966","2.4.1.298"
"RXN-22702","RXN-22702","1.1.1"
"RXN-8719","RXN-8719","1.10.3"
"RXN-10978","RXN-10978","3.6.1.52"
"RXN-13487","RXN-13487","1.14.14.183"
"RXN-22168","RXN-22168","2.4.1"
"2.3.1.43-RXN","2.3.1.43","2.3.1.43"
"4.2.2.14-RXN","4.2.2.14","4.2.2.14"
"RXN-18977","RXN-18977","5.5.1.29"
"S-METHYLMALONYL-COA-HYDROLASE-RXN","S-METHYLMALONYL-COA-HYDROLASE","3.1.2.17"
"RXN-8267","RXN-8267","2.4.1"
"RXN2DNV-14","RXN2DNV-14","2.4.99"
"RXN-12935","RXN-12935","1.1.1"
"RXN-21753","RXN-21753","6.2.1.17"
"RXN-7625","RXN-7625","1.14.19"
"1.13.11.25-RXN","1.13.11.25","1.13.11.25"
"PROCOLLAGEN-GALACTOSYLTRANSFERASE-RXN","PROCOLLAGEN-GALACTOSYLTRANSFERASE","2.4.1.50"
"RXN-12436","RXN-12436","3.1.6"
"INDANOL-DEHYDROGENASE-RXN","INDANOL-DEHYDROGENASE","1.1.1.112"
"RXN-18037","RXN-18037","2.7.8.M4"
"RXN0-6427","RXN0-6427","3.1.7.2"
"RXN-14944","RXN-14944","4.2.1.152"
"RXN-4561","RXN-4561","1.14.14"
"RXN-9815","RXN-9815","2.1.1"
"RXN-11933","RXN-11933","1.1.1.418"
"RXN-20571","RXN-20571","1.13.11.34"
"RXN-23277","RXN-23277","2.1.1.M98"
"DTDPGLUCDEHYDRAT-RXN","DTDPGLUCDEHYDRAT","4.2.1.46"
"RXN-11457","RXN-11457","2.6.1"
"RXN-17532","RXN-17532","4.3.3"
"BADH-RXN","BADH","1.2.1.8"
"3.1.1.73-RXN","3.1.1.73","3.1.1.73"
"RXN-17045","RXN-17045","3.1.1"
"RXN-9230","RXN-9230","2.5.1.39"
"RXN-13983","RXN-13983","2.3.1"
"RXN-8738","RXN-8738","1"
"RXN-19515","RXN-19515","2.3.1"
"RXN-22191","RXN-22191","2.4.99"
"2.3.1.90-RXN","2.3.1.90","2.3.1.90"
"4.2.3.12-RXN","4.2.3.12","4.2.3.12"
"RXN-10381","RXN-10381","4.2.1.80"
"RXN-16509","RXN-16509","3.2.1.56"
"RXN-18996","RXN-18996","2.4.1.353"
"SELENOCYSTEINE-LYASE-RXN","SELENOCYSTEINE-LYASE","4.4.1.16"
"RXN-16034","RXN-16034","1.1.1.201"
"RXN-8287","RXN-8287","2.4.1"
"RXN2DNV-29","RXN2DNV-29","2.4.1"
"RXN-12957","RXN-12957","1.3.99.32"
"RXN-21771","RXN-21771","1.1.1.35"
"RXN-7652","RXN-7652","1.14.14.82"
"1.14.11.2-RXN","1.14.11.2","1.14.11.2"
"PROPIONLACT-RXN","PROPIONLACT","2.8.3.1"
"RXN-12459","RXN-12459","2.1.1.221"
"ISOCHORMAT-RXN","ISOCHORMAT","3.3.2.1"
"RXN-15491","RXN-15491","2.4.1"
"RXN-18054","RXN-18054","2.4.1"
"RXN-14979","RXN-14979","2.4.1.363"
"RXN-4725","RXN-4725","2.4.1"
"RXN-9832","RXN-9832","1.1.1"
"RXN-20590","RXN-20590","1.14.11.73"
"RXN-23306","RXN-23306","3.7.1"
"ENZRXN-201-RXN","ENZRXN-201","1.1.1.2"
"RXN-11486","RXN-11486","2.5.1.85"
"RXN-20060","RXN-20060","2.5.1"
"BETA-ALANYL-COA-AMMONIA-LYASE-RXN","BETA-ALANYL-COA-AMMONIA-LYASE","4.3.1.6"
"RXN-14493","RXN-14493","1.1.1.330"
"RXN-17065","RXN-17065","2.1.1.M7"
"RXN-9246","RXN-9246","1.1.1.319"
"RXN-14000","RXN-14000","2.4.1.239"
"RXN-22740","RXN-22740","5.3.1.5"
"RXN-8762","RXN-8762","2.1.1.271"
"RXN-19533","RXN-19533","2.1.1.M46"
"RXN-22210","RXN-22210","2.3.1"
"2.4.1.116-RXN","2.4.1.116","2.4.1.116"
"4.3.1.4-RXN","4.3.1.4","4.3.1.4"
"RXN-10434","RXN-10434","6.3"
"RXN-16529","RXN-16529","1.5.8.M1"
"SINAPATE-1-GLUCOSYLTRANSFERASE-RXN","SINAPATE-1-GLUCOSYLTRANSFERASE","2.4.1.120"
"RXN-13522","RXN-13522","4.2.3"
"RXN-8304","RXN-8304","1.14.19.42"
"RXN-12982","RXN-12982","4.2.3.110"
"RXN-21787","RXN-21787","2.3.1.16"
"RXN-7674","RXN-7674","2.5.1.62"
"1.14.13.103-RXN","1.14.13.103","1.14.14.142"
"PRPPSYN-RXN","PRPPSYN","2.7.6.1"
"RXN-12480","RXN-12480","2.1.1.223"
"RXN-18528","RXN-18528","1.8.98.4"
"ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE-RXN","ISOVITEXIN-BETA-GLUCOSYLTRANSFERASE","2.4.1.106"
"RXN-15521","RXN-15521","2.4.1.129"
"RXN-18072","RXN-18072","2.4.1.M16"
"RXN0-6565","RXN0-6565","1.3.1.1"
"RXN-15000","RXN-15000","6.2.1"
"RXN-4764","RXN-4764","3.2.1.62"
"RXN-9850","RXN-9850","2.3.1.176"
"RXN-23334","RXN-23334","1.13.11.12"
"ETHYL-RXN","ETHYL","1.14.17.4"
"RXN-11513","RXN-11513","1.14.13.178"
"RXN-17571","RXN-17571","1.1.1.M22"
"RXN-2008","RXN-2008","1.14.14"
"BIOTINIDASE-RXN","BIOTINIDASE","3.5.1.12"
"RXN-17082","RXN-17082","2.6.1.34"
"RXN-9291","RXN-9291","4.2.3.34"
"RXN-14021","RXN-14021","3.2.1.180 // EC-3.2.1.179"
"RXN-22763","RXN-22763","1.14.14"
"RXN-11035","RXN-11035","1.1.1"
"RXN-22228","RXN-22228","2.4.99"
"2.4.1.146-RXN","2.4.1.146","2.4.1.146"
"5-AMINOPENTANAMIDASE-RXN","5-AMINOPENTANAMIDASE","3.5.1.30"
"RXN-10452","RXN-10452","1.14.13"
"RXN-19030","RXN-19030","1.13.11.87"
"SPHINGOSINE-N-ACYLTRANSFERASE-RXN","SPHINGOSINE-N-ACYLTRANSFERASE","2.3.1.24"
"RXN-13541","RXN-13541","3.2.1"
"RXN-16071","RXN-16071","1.14.19.36"
"RXN-8321","RXN-8321","1.14.19.25"
"RXN3O-127","RXN3O-127","1.5.1.10"
"RXN-7697","RXN-7697","2.3.1.199"
"1.14.13.63-RXN","1.14.13.63","1.14.13.63"
"PUTTRANSAM-RXN","PUTTRANSAM","2.6.1.82"
"RXN-18562","RXN-18562","6.1.3.1"
"RXN-21189","RXN-21189","1.3.3.16"
"KETOGAL-DEHYDROXY-RXN","KETOGAL-DEHYDROXY","1.1.1"
"RXN-15538","RXN-15538","1.14.19.73"
"RXN-18090","RXN-18090","3.5.2.M1"
"RXN0-6734","RXN0-6734","4.7.1.1"
"RXN-12498","RXN-12498","5.4.99.43"
"RXN-15017","RXN-15017","1.1.1"
"RXN-4861","RXN-4861","5.5.1.12"
"RXN-9868","RXN-9868","3.1.1.45"
"CALCIDIOL-1-MONOOXYGENASE-RXN","CALCIDIOL-1-MONOOXYGENASE","1.14.15.18"
"RXN-17100","RXN-17100","2.3.1"
"RXN-9312","RXN-9312","2.1.1.279"
"RXN-11058","RXN-11058","2.8.2.1"
"RXN-19580","RXN-19580","2.4.1"
"2.4.1.171-RXN","2.4.1.171","2.4.1.171"
"5.1.3.20-RXN","5.1.3.20","5.1.3.20"
"RXN-16569","RXN-16569","2.4.1.153"
"STIZOLOBINATE-SYNTHASE-RXN","STIZOLOBINATE-SYNTHASE","1.13.11.30"
"RXN-16087","RXN-16087","1.14.13"
"RXN-8343","RXN-8343","1.14.19.46"
"RXN3O-54","RXN3O-54","2.1.1.201"
"RXN-13028","RXN-13028","2.4.99.16"
"RXN-774","RXN-774","1.14.14.147"
"1.14.13.91-RXN","1.14.13.91","1.14.14.136"
"PYRNUTRANSHYDROGEN-RXN","PYRNUTRANSHYDROGEN","1.6.1.2 // EC-1.6.1.3 // EC-1.6.1.1"
"L-ARABINONATE-DEHYDRATASE-RXN","L-ARABINONATE-DEHYDRATASE","4.2.1.25"
"RXN-15554","RXN-15554","4.2.1"
"RXN-18112","RXN-18112","4.1.1.M8"
"RXN0-6981","RXN0-6981","3.4.13.18"
"RXN-12518","RXN-12518","1.3.3.6"
"RXN-15035","RXN-15035","3.1.1.5"
"RXN-9885","RXN-9885","1.3.1.32"
"RXN-12037","RXN-12037","1.21.99.4"
"RXN-23384","RXN-23384","1.1.1.137"
"FORMAMIDASE-RXN","FORMAMIDASE","3.5.1.49"
"RXN-17608","RXN-17608","3.5.1.4"
"CARNITINE-DECARBOXYLASE-RXN","CARNITINE-DECARBOXYLASE","4.1.1.42"
"3.1.3.70-RXN","3.1.3.70","3.1.3.70"
"RXN-14549","RXN-14549","2.1.1.286"
"RXN-17118","RXN-17118","1.14.19"
"RXN-9344","RXN-9344","1.2.1.84"
"RXN-14070","RXN-14070","5.2.1"
"RXN-22804","RXN-22804","1.1.99.13"
"RXN-8818","RXN-8818","1.13.11.74"
"RXN-19597","RXN-19597","2.3.1.272"
"RXN-22267","RXN-22267","1.1.1.141"
"2.4.1.199-RXN","2.4.1.199","2.4.1.199"
"5.4.99.14-RXN","5.4.99.14","5.4.99.14"
"RXN-16590","RXN-16590","1.1.1"
"RXN-19071","RXN-19071","1.3.8.14"
"SUCCINYL-COA-HYDROLASE-RXN","SUCCINYL-COA-HYDROLASE","3.1.2.3"
"RXN-13594","RXN-13594","4.1.2"
"RXN-16102","RXN-16102","2.3.1"
"RXN-8364","RXN-8364","1.14.19.35"
"RXN3O-9966","RXN3O-9966","5.4.99"
"RXN-10604","RXN-10604","1.21.99.4"
"RXN-21852","RXN-21852","2.4.1.383"
"RXN-7760","RXN-7760","2.4.1"
"1.14.99.21-RXN","1.14.99.21","1.14.99.21"
"QUESTIN-MONOOXYGENASE-RXN","QUESTIN-MONOOXYGENASE","1.14.13.43"
"RXN-18608","RXN-18608","2.3.1.265"
"RXN-21231","RXN-21231","1.10.3.2"
"L-PIPECOLATE-DEHYDROGENASE-RXN","L-PIPECOLATE-DEHYDROGENASE","1.5.99.3"
"RXN-18132","RXN-18132","1.1"
"RXN0-7013","RXN0-7013","3.1.1.106"
"RXN-15052","RXN-15052","2.4.1"
"RXN-5122","RXN-5122","4.2.3"
"RXN-9901","RXN-9901","1.14.11"
"RXN-20670","RXN-20670","2.7.4.34"
"FRUCTOKINASE-RXN","FRUCTOKINASE","2.7.1.4"
"RXN-20144","RXN-20144","1.1.1"
"CDP-GLUCOSE-46-DEHYDRATASE-RXN","CDP-GLUCOSE-46-DEHYDRATASE","4.2.1.45"
"3.1.4.39-RXN","3.1.4.39","3.1.4.39"
"RXN-14573","RXN-14573","3.2.1.189"
"RXN-17144","RXN-17144","2.6.99"
"RXN-9363","RXN-9363","2.1.1.163"
"RXN-11566","RXN-11566","1.5.1.43"
"RXN-14088","RXN-14088","4.2.1.M14"
"RXN-22821","RXN-22821","1.3.3.17"
"RXN-8835","RXN-8835","5.4.4.1"
"RXN-19622","RXN-19622","1.1.1"
"RXN-22283","RXN-22283","2.1.1.294"
"2.4.1.220-RXN","2.4.1.220","2.4.1.220"
"6-OXOCINEOLE-DEHYDROGENASE-RXN","6-OXOCINEOLE-DEHYDROGENASE","1.14.13.51"
"RXN-16635","RXN-16635","2.4.1.184"
"RXN-13615","RXN-13615","1.3.8.7"
"RXN-16125","RXN-16125","1.14.19"
"RXN5F9-56","RXN5F9-56","1.3.1"
"RXN-10620","RXN-10620","1.21.98.1"
"RXN-13081","RXN-13081","1.14.13.163"
"RXN-21870","RXN-21870","2.4.1"
"RXN-7785","RXN-7785","1.14.20"
"1.2.1.32-RXN","1.2.1.32","1.2.1.32"
"R122-RXN","R122","3.5.4.43"
"RXN-21253","RXN-21253","2.1.1"
"LACTATE-MALATE-TRANSHYDROGENASE-RXN","LACTATE-MALATE-TRANSHYDROGENASE","1.1.99.7"
"RXN-15603","RXN-15603","2.5.1"
"RXN-18153","RXN-18153","1.14.19"
"RXN-12570","RXN-12570","1.1.1.35"
"RXN-15071","RXN-15071","2.1.1"
"METHYLACYLYLCOA-HYDROXY-RXN","METHYLACYLYLCOA-HYDROXY","4.2.1.150"
"RXN-12071","RXN-12071","1.3.1.87"
"RXN-23425","RXN-23425","3.3.2.10"
"GABATRANSAM-RXN","GABATRANSAM","2.6.1.19"
"RXN-17645","RXN-17645","5.1.99.4"
"RXN-20170","RXN-20170","2.1.1"
"CERAMIDE-GLUCOSYLTRANSFERASE-RXN","CERAMIDE-GLUCOSYLTRANSFERASE","2.4.1.80"
"3.1.6.7-RXN","3.1.6.7","3.1.6.7"
"RXN-14596","RXN-14596","3.2.1.195"
"RXN-17169","RXN-17169","1.8.3"
"RXN-9385","RXN-9385","2.7.7.M12"
"RXN-14109","RXN-14109","2.4.1.234"
"RXN-8855","RXN-8855","1.14.13.146"
"RXN-11110","RXN-11110","2.4.1.248"
"RXN-22305","RXN-22305","2.4.1"
"2.4.1.242-RXN","2.4.1.242","2.4.1.242"
"6.3.1.9-RXN","6.3.1.9","6.3.1.9"
"RXN-16654","RXN-16654","1.2.1.3"
"RXN-19117","RXN-19117","1.14.19.M18"
"TCCOL-RXN","TCCOL","1.14.99"
"RXN-13638","RXN-13638","1.14.11"
"RXN-16142","RXN-16142","1.14.14"
"RXN-8416","RXN-8416","4.2.3.133"
"RXN-1064","RXN-1064","1.11.2.3"
"RXN-13100","RXN-13100","1.1.3"
"RXN-21887","RXN-21887","2.4.1.122"
"RXN-7809","RXN-7809","1.14.99.M4"
"1.2.3.14-RXN","1.2.3.14","1.2.3.14"
"R165-RXN","R165","1.1.1.154"
"RXN-21281","RXN-21281","1.14.11.75"
"LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN","LEUKOTRIENE-B4-20-MONOOXYGENASE","1.14.14.94"
"RXN-18181","RXN-18181","1.14.11.M9"
"RXN-15099","RXN-15099","1.14.15.33"
"RXN-5443","RXN-5443","1.1.3.M5"
"MEVALDATE-REDUCTASE-RXN","MEVALDATE-REDUCTASE","1.1.1.32"
"RXN-12095","RXN-12095","1.1.1.401"
"RXN-20710","RXN-20710","6.3.2.34"
"GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN","GALACTURAN-14-ALPHA-GALACTURONIDASE","3.2.1.67"
"RXN-17669","RXN-17669","1.1.1"
"RXN-20188","RXN-20188","1.14.11.77"
"CHLOROMALERED-RXN","CHLOROMALERED","1.3.1.32"
"3.2.1.115-RXN","3.2.1.115","3.2.1.115"
"RXN-14631","RXN-14631","2.5.1.111"
"RXN-17197","RXN-17197","2.1.1.326"
"RXN-9404","RXN-9404","1.1.98"
"RXN-11602","RXN-11602","2.1.1.191"
"RXN-14126","RXN-14126","3.1.3.6"
"RXN-22874","RXN-22874","2.4.1"
"RXN-8887","RXN-8887","2.4.1.314"
"RXN-19667","RXN-19667","2.1.1.163"
"2.4.1.47-RXN","2.4.1.47","2.4.1.47"
"8-OXOCOFORMYCIN-REDUCTASE-RXN","8-OXOCOFORMYCIN-REDUCTASE","1.1.1.235"
"RXN-19136","RXN-19136","5.5.1.M8"
"THIAMIN-DIPHOSPHATE-KINASE-RXN","THIAMIN-DIPHOSPHATE-KINASE","2.7.4.15"
"RXN-13660","RXN-13660","1.1.1"
"RXN-16158","RXN-16158","2.3.1.23"
"RXN-8433","RXN-8433","2.4.2"
"RXN66-182","RXN66-182","1.1"
"RXN-10667","RXN-10667","1.14.99.M7"
"RXN-13121","RXN-13121","2.4.1.284"
"RXN-21902","RXN-21902","2.4.1"
"RXN-7832","RXN-7832","2.4.1.116"
"1.3.1.49-RXN","1.3.1.49","1.3.1.49"
"R215-RXN","R215","2.3.3"
"RXN-18669","RXN-18669","2.3.1.84"
"RXN-15649","RXN-15649","4.1.1.110"
"RXN0-7280","RXN0-7280","1.14.11.33"
"RXN-12615","RXN-12615","1.17.3.2"
"RXN-15117","RXN-15117","2.4.1.315"
"RXN-5603","RXN-5603","1.1.1"
"RXN-9985","RXN-9985","3.2.1.26"
"MUCONATE-CYCLOISOMERASE-RXN","MUCONATE-CYCLOISOMERASE","5.5.1.1"
"RXN-12116","RXN-12116","3.1.4.54"
"RXN-23463","RXN-23463","1.11.1.12"
"GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE-RXN","GDP-6-DEOXY-D-TALOSE-4-DEHYDROGENASE","1.1.1.187 // EC-1.1.1.135"
"RXN-17690","RXN-17690","1.10.3.16"
"RXN-20219","RXN-20219","2.3.1.26"
"CHOLOYLGLYCINE-HYDROLASE-RXN","CHOLOYLGLYCINE-HYDROLASE","3.5.1.24"
"3.2.1.141-RXN","3.2.1.141","3.2.1.141"
"RXN-14660","RXN-14660","2.1.1"
"RXN-11625","RXN-11625","2.7.1.216"
"RXN-14151","RXN-14151","1.1.1"
"RXN-22892","RXN-22892","3.2.1.62"
"RXN-8916","RXN-8916","4.4.1.4"
"RXN-19688","RXN-19688","2.4.1"
"2.4.1.96-RXN","2.4.1.96","2.4.1.96"
"ACETOINDEHYDROG-RXN","ACETOINDEHYDROG","1.1.1"
"RXN-16707","RXN-16707","6.3.1.19"
"THIOSULFATE-SULFURTRANSFERASE-RXN","THIOSULFATE-SULFURTRANSFERASE","2.8.1.1"
"RXN-13680","RXN-13680","3.5.1.15"
"RXN-8452","RXN-8452","2.1.1.267"
"RXN66-3","RXN66-3","1.2.1.3"
"RXN-10690","RXN-10690","2.4.1"
"RXN-13144","RXN-13144","2.2.1.11"
"RXN-21919","RXN-21919","2.4.1"
"RXN-7866","RXN-7866","1.21.3.8"
"1.3.99.16-RXN","1.3.99.16","1.3.99.16"
"RXN-18691","RXN-18691","2.8.1"
"RXN-21316","RXN-21316","4.1.2.62"
"LTARTDEHYDRA-RXN","LTARTDEHYDRA","4.2.1.32"
"RXN-15668","RXN-15668","2.5.1"
"RXN-18216","RXN-18216","3.2.1.147"
"RXN0-7345","RXN0-7345","2.3.1"
"3.5.1.72-RXN","3.5.1.72","3.5.1.72"
"RXN-15135","RXN-15135","3.1.1.13"
"RXN-5921","RXN-5921","1.14.13.239"
"RXN0-1241","RXN0-1241","2.1.1.298"
"N-ACETYLGLUTPREDUCT-RXN","N-ACETYLGLUTPREDUCT","1.2.1.38"
"RXN-12138","RXN-12138","1.14.14.M33"
"RXN-20742","RXN-20742","1.13.11.89"
"RXN-23483","RXN-23483","1.1.1.141"
"GKI-RXN","GKI","2.7.1.165"
"RXN-20237","RXN-20237","2.1.1.353"
"CITRAMALYL-COA-LYASE-RXN","CITRAMALYL-COA-LYASE","4.1.3.25"
"3.2.1.161-RXN","3.2.1.161","3.2.1.161"
"RXN-14682","RXN-14682","1.14.15"
"RXN-17244","RXN-17244","1.1.1.M11"
"RXN-9434","RXN-9434","1.1.1.296"
"RXN-14169","RXN-14169","1.2.1.42"
"RXN-22909","RXN-22909","2.1.1.260"
"RXN-11174","RXN-11174","1.1.1.282"
"RXN-19704","RXN-19704","2.4.1.363"
"2.4.99.6-RXN","2.4.99.6","2.4.3.6"
"ACETYLORNDEACET-RXN","ACETYLORNDEACET","3.5.1.16"
"RXN-16736","RXN-16736","2.7.1.190"
"THYROID-HORMONE-AMINOTRANSFERASE-RXN","THYROID-HORMONE-AMINOTRANSFERASE","2.6.1.26"
